"","publication_year","is_open_code","is_open_data","is_register_pred","is_coi_pred","is_fund_pred"
"1",2010,"0(0)","1(14)","1(14)","7(100)","7(100)"
"2",2011,"0(0)","0(0)","6(30)","16(80)","18(90)"
"3",2012,"0(0)","1(6)","3(19)","13(81)","16(100)"
"4",2013,"0(0)","2(6)","7(23)","21(68)","28(90)"
"5",2014,"0(0)","1(4)","7(26)","22(81)","23(85)"
"6",2015,"0(0)","1(4)","0(0)","19(73)","24(92)"
"7",2016,"1(3)","5(16)","8(25)","31(97)","30(94)"
"8",2017,"0(0)","8(24)","11(32)","32(94)","33(97)"
"9",2018,"0(0)","3(9)","8(25)","32(100)","31(97)"
"10",2019,"1(2)","10(18)","12(22)","50(91)","49(89)"
"11",2020,"3(7)","14(34)","6(15)","34(83)","37(90)"
"12",2021,"6(10)","20(34)","20(34)","55(93)","54(92)"
"13",2022,"2(6)","8(23)","8(23)","31(89)","31(89)"
